episode,omega1,omega5
1000,0.308743525815,0.691256474185
1010,0.274681225876,0.725318774124
1020,0.278281898142,0.721718101858
1030,0.245085013132,0.754914986868
1040,0.308103630564,0.691896369436
1050,0.345698781948,0.654301218052
1060,0.316046624983,0.683953375017
1070,0.219599811335,0.780400188665
1080,0.270912077651,0.729087922349
1090,0.338944818807,0.661055181193
1100,0.254832985887,0.745167014113
1110,0.32805394515,0.67194605485
1120,0.290491120936,0.709508879064
1130,0.317995288401,0.682004711599
1140,0.259993950063,0.740006049937
1150,0.308103630564,0.691896369436
1160,0.342088713424,0.657911286576
1170,0.273885018739,0.726114981261
1180,0.284143568271,0.715856431729
1190,0.307251582586,0.692748417414
1200,0.336931200075,0.663068799925
1210,0.282316476102,0.717683523898
1220,0.247125917225,0.752874082775
1230,0.241769983262,0.758230016738
1240,0.316046624983,0.683953375017
1250,0.247125917225,0.752874082775
1260,0.273288807577,0.726711192423
1270,0.317128423511,0.682871576489
1280,0.233258935771,0.766741064229
1290,0.274083935716,0.725916064284
1300,0.301113728152,0.698886271848
1310,0.266197774322,0.733802225678
1320,0.212319556049,0.787680443951
1330,0.320603444884,0.679396555116
1340,0.327613227747,0.672386772253
1350,0.251618278393,0.748381721607
1360,0.338720793677,0.661279206323
1370,0.313028191617,0.686971808383
1380,0.2817090316,0.7182909684
1390,0.277278806833,0.722721193167
1400,0.306400847442,0.693599152558
1410,0.276277947131,0.723722052869
1420,0.276277947131,0.723722052869
1430,0.218744134107,0.781255865893
1440,0.256355108244,0.743644891756
1450,0.291109827434,0.708890172566
1460,0.323660509192,0.676339490808
1470,0.273090250574,0.726909749426
1480,0.305339280405,0.694660719595
1490,0.339841640276,0.660158359724
1500,0.359392923361,0.640607076639
1510,0.293592399411,0.706407600589
1520,0.263084104167,0.736915895833
1530,0.360775463482,0.639224536518
1540,0.303433666962,0.696566333038
1550,0.293177778906,0.706822221094
1560,0.286999837248,0.713000162752
1570,0.2817090316,0.7182909684
1580,0.325633766998,0.674366233002
1590,0.323660509192,0.676339490808
1600,0.226356497042,0.773643502958
1610,0.324536743618,0.675463256382
1620,0.338720793677,0.661279206323
1630,0.341863684952,0.658136315048
1640,0.286182011404,0.713817988596
1650,0.344342894502,0.655657105498
1660,0.311096082023,0.688903917977
1670,0.319080645265,0.680919354735
1680,0.281506726725,0.718493273275
1690,0.325633766998,0.674366233002
1700,0.339617326921,0.660382673079
1710,0.254643139311,0.745356860689
1720,0.343891493449,0.656108506551
1730,0.305551428888,0.694448571112
1740,0.308956987584,0.691043012416
1750,0.283940206184,0.716059793816
1760,0.300062554407,0.699937445593
1770,0.271109641618,0.728890358382
1780,0.237216683913,0.762783316087
1790,0.321475336883,0.678524663117
1800,0.255593303032,0.744406696968
1810,0.324536743618,0.675463256382
1820,0.296087299899,0.703912700101
1830,0.32783354851,0.67216645149
1840,0.291316235429,0.708683764571
1850,0.28843438682,0.71156561318
1860,0.294838314086,0.705161685914
1870,0.295670630744,0.704329369256
1880,0.306613407944,0.693386592056
1890,0.283533745628,0.716466254372
1900,0.291109827434,0.708890172566
1910,0.319080645265,0.680919354735
1920,0.299223126787,0.700776873213
1930,0.341638727639,0.658361272361
1940,0.288639670225,0.711360329775
1950,0.178579687524,0.821420312476
1960,0.265612175946,0.734387824054
1970,0.268548379266,0.731451620734
1980,0.273090250574,0.726909749426
1990,0.347283825433,0.652716174567
2000,0.321693504758,0.678306495242
